135.000,47.388,147.687,47.000,20.347,108.225,6.000,47.796,123.144,39.000,1.000
22.000,42.429,144.803,60.000,35.694,108.569,15.000,39.939,118.006,40.000,1.000
3.000,40.653,145.021,45.000,48.286,119.094,20.000,42.347,121.545,14.000,1.000
72.000,27.735,138.852,44.000,28.980,106.735,13.000,19.061,102.023,8.000,1.000
56.000,32.694,145.814,44.000,25.612,127.217,13.000,18.204,115.626,7.000,1.000
15.000,26.122,147.449,48.000,49.286,119.981,39.000,18.755,107.335,10.000,1.000
39.000,20.735,134.855,23.000,34.878,118.784,12.000,55.592,127.397,25.000,1.000
0.000,17.796,129.584,20.000,9.490,98.785,6.000,18.531,107.485,7.000,1.000
81.000,72.837,140.201,43.000,43.224,114.139,17.000,25.163,126.579,22.000,1.000
145.000,52.551,142.072,70.000,54.408,123.568,50.000,34.306,117.971,20.000,1.000
0.000,2.306,94.052,0.000,2.490,82.694,0.000,2.082,74.242,0.000,0.000
3.000,3.061,95.266,0.000,4.510,86.415,0.000,1.367,85.632,0.000,0.000
3.000,2.959,91.805,0.000,3.633,82.917,0.000,1.347,70.469,0.000,0.000
0.000,5.122,93.167,0.000,4.694,83.633,0.000,4.000,79.617,0.000,0.000
0.000,3.551,90.120,0.000,1.531,70.410,0.000,3.245,77.002,0.000,0.000
3.000,1.633,88.551,0.000,2.102,76.956,0.000,2.694,84.068,0.000,0.000
3.000,2.776,89.061,0.000,3.939,83.917,0.000,3.673,78.585,0.000,0.000
3.000,3.735,92.946,0.000,2.041,88.010,0.000,4.571,81.912,0.000,0.000
0.000,4.939,102.784,0.000,3.755,85.713,0.000,3.898,85.369,0.000,0.000
2.000,4.490,96.073,0.000,2.102,73.921,0.000,2.694,85.085,0.000,0.000
